번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
144,벧엘평생 노인교실,서울특별시 동작구 흑석동 9-7번지 ,,20090326,운영중,,,,,,,80,0,1,196891.5475,445066.5149,
395,제일교회노인교실,서울특별시 동작구 흑석동 80-3번지 ,,20000621,운영중,,,,,,,50,0,50,196616.3204,444550.1041,운영
141,흑석시니어아카데미,서울특별시 동작구 흑석동 186번지 ,,20100927,운영중,,,,,,,0,,,196421.5225,445191.0422,
145,명수대 노인교실,서울특별시 동작구 흑석동 186-28번지 ,,20091014,운영중,,,,,,,65,4,20,196340.3579,445110.8393,
391,보라매노인교실,서울특별시 동작구 신대방동 474-3번지 ,,20020909,운영중,,,,,,,50,0,70,192317.316,443450.2111,운영
147,막달레나노인교실,서울특별시 동작구 신대방동 366-40번지 ,,20080229,운영중,,,,,,,50,0,9,193426.067,443721.0724,
393,상도노인교실,서울특별시 동작구 상도동 600-2번지 ,,19970117,운영중,,,,,,,50,0,100,,,운영
148,성가정노인교실,서울특별시 동작구 상도동 34-1번지 ,,20080806,운영중,,,,,,,87,3,8,195278.2037,444656.1534,
138,시니어문화교실,서울특별시 동작구 상도동 170-26번지 ,,20110221,운영중,,,,,,,50,,,194737.1488,444730.7331,
394,남현노인교실,서울특별시 동작구 상도동 159-56번지 ,,19980403,운영중,,,,,,,50,0,70,195317.7126,444325.1222,운영
142,은빛 노인교실,서울특별시 동작구 상도동 134-162번지 ,,20101007,운영중,,,,,,,120,,,195850.2323,443567.9597,
396,예수성심노인교실,서울특별시 동작구 사당동 42번지 ,,20070607,운영중,,,,,,,101,0,101,198191.3275,443294.5855,운영
149,로사리오노인교실,서울특별시 동작구 사당동 235-57번지 ,,20080808,운영중,,,,,,,80,7,5,197073.2777,442283.4183,
143,삼광노인교실,서울특별시 동작구 사당동 1002-18번지 ,,20080219,운영중,,,,,,,50,0,32,197982.9874,442319.6373,
392,(사)대한노인회 동작구지회 부설 노인교실,서울특별시 동작구 대방동 407-8번지 ,,19970117,운영중,,,,,,,150,0,150,192960.8633,444006.4939,운영
146,강남노인교실,서울특별시 동작구 노량진동 222-73번지 ,,20080219,운영중,,,,,,,50,0,14,195075.9161,445349.5373,
139,구구팔팔시니어아카데미,서울특별시 동작구 노량진동 ,,20111125,운영중,,,,,,,80,,3,,,
140,동작50+센터,서울특별시 동작구 노량진동 ,,20151130,운영중,,,,,,,0,,,,,
